"函数名"	"条目数"	"定义数"	"声明数"	"功能签名数"	"功能签名摘要"	"迁移归属建议"	"原始签名摘要"	"初步判定"
"写入本能方法自身环境失败"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:9536: inline void 写入本能方法自身环境失败( 基础信息节点类* 宿主, const 语素入口节点类* 失败原因, 时间戳 now) noexcept || 自我动作实现模块.ixx:4451: inline void 写入本能方法自身环境失败( 基础信息节点类* 宿主, const 语素入口节点类* 失败原因, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入目标方法I64实际结果状态"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=整数/时间;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:8470: inline 状态节点类* 写入目标方法I64实际结果状态( 方法类::节点类* 当前本能方法, 方法类::节点类* 目标方法, const 语素入口节点类* 特征类型, I64 实际状态值, 场景节点类*& 输出结果场景, 时间戳 now) noexcept || 自我动作实现模块.ixx:3011: inline 状态节点类* 写入目标方法I64实际结果状态( 方法类::节点类* 当前本能方法, 方法类::节点类* 目标方法, const 语素入口节点类* 特征类型, I64 实际状态值, 场景节点类*& 输出结果场景, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入目标方法I64特征"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=bool;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:8212: inline bool 写入目标方法I64特征( 方法类::节点类* 目标方法, const 语素入口节点类* 特征类型, I64 值, 时间戳 now) noexcept || 自我动作实现模块.ixx:2858: inline bool 写入目标方法I64特征( 方法类::节点类* 目标方法, const 语素入口节点类* 特征类型, I64 值, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入目标方法I64特征派生需求"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:8354: inline void 写入目标方法I64特征派生需求( 方法类::节点类* 当前本能方法, 方法类::节点类* 目标方法, const 语素入口节点类* 特征类型, I64 当前状态值, I64 目标状态值, 场景节点类*& 输出结果场景, 时间戳 now) noexcept || 自我动作实现模块.ixx:2991: inline void 写入目标方法I64特征派生需求( 方法类::节点类* 当前本能方法, 方法类::节点类* 目标方法, const 语素入口节点类* 特征类型, I64 当前状态值, I64 目标状态值, 场景节点类*& 输出结果场景, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入目标方法特征派生需求"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:8228: inline void 写入目标方法特征派生需求( 方法类::节点类* 当前本能方法, 方法类::节点类* 目标方法, const 语素入口节点类* 特征类型, const 特征值& 当前状态值, const 特征值& 目标状态值, 场景节点类*& 输出结果场景, 时间戳 now) noexcept || 自我动作实现模块.ixx:2874: inline void 写入目标方法特征派生需求( 方法类::节点类* 当前本能方法, 方法类::节点类* 目标方法, const 语素入口节点类* 特征类型, const 特征值& 当前状态值, const 特征值& 目标状态值, 场景节点类*& 输出结果场景, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"写入目标方法状态派生需求"	"2"	"2"	"0"	"2"	"1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=外设;约束=noexcept+inline || 1x 类别=写入;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=自我;约束=noexcept+inline"	"1x 专用类/对应头文件：外设 || 1x 专用类/对应头文件：自我"	"自我动作实现.外设模块.ixx:8333: inline void 写入目标方法状态派生需求( 方法类::节点类* 当前本能方法, 方法类::节点类* 目标方法, I64 当前状态值, I64 目标状态值, 场景节点类*& 输出结果场景, 时间戳 now) noexcept || 自我动作实现模块.ixx:2970: inline void 写入目标方法状态派生需求( 方法类::节点类* 当前本能方法, 方法类::节点类* 目标方法, I64 当前状态值, I64 目标状态值, 场景节点类*& 输出结果场景, 时间戳 now) noexcept"	"同名不同功能或约束，禁止直接合并"
"分层_登记叶子_已加锁"	"2"	"1"	"1"	"2"	"1x 类别=未分类;输入=有自定义类型;输出=void;副作用=无明显副作用;领域=特征值;约束=锁约束 || 1x 类别=未分类;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=特征值;约束=锁约束"	"2x 专用类/对应头文件：特征值"	"特征值类.h:392: void 分层_登记叶子_已加锁(枚举_轮廓维度 dim, const std::vector<I64>& tokens, 节点类* leaf) || 特征值类.h:420: 分层_登记叶子_已加锁(dim, tokens, node)"	"同名不同功能或约束，禁止直接合并"
"创建二次特征"	"2"	"0"	"2"	"2"	"1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：特征"	"世界树类.h:176: 二次特征节点类* 创建二次特征(基础信息节点类* 父节点, 二次特征主信息类* 主信息) || 二次特征类.h:19: 二次特征节点类* 创建二次特征(基础信息节点类* 父节点, 二次特征主信息类* 主信息)"	"同名不同功能或约束，禁止直接合并"
"创建叶子抽象特征"	"2"	"0"	"2"	"2"	"1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：特征"	"世界树类.h:112: 抽象特征节点类* 创建叶子抽象特征( 基础信息节点类* 父抽象特征, const 语素入口节点类* 名称, const 语素入口节点类* 类型, 特征值域 值域) || 特征类.h:267: 抽象特征节点类* 创建叶子抽象特征( 基础信息节点类* 父抽象特征, const 语素入口节点类* 名称, const 语素入口节点类* 类型, 特征值域 值域)"	"同名不同功能或约束，禁止直接合并"
"创建场景"	"2"	"0"	"2"	"2"	"1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=场景;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：场景"	"世界树类.h:170: 场景节点类* 创建场景(基础信息节点类* 父节点, 场景节点主信息类* 主信息) || 场景类.h:14: 场景节点类* 创建场景(基础信息节点类* 父节点, 场景节点主信息类* 主信息)"	"同名不同功能或约束，禁止直接合并"
"创建复合抽象特征"	"2"	"0"	"2"	"2"	"1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：特征"	"世界树类.h:117: 抽象特征节点类* 创建复合抽象特征( 基础信息节点类* 父抽象特征, const 语素入口节点类* 名称, const 语素入口节点类* 类型) || 特征类.h:272: 抽象特征节点类* 创建复合抽象特征( 基础信息节点类* 父抽象特征, const 语素入口节点类* 名称, const 语素入口节点类* 类型)"	"同名不同功能或约束，禁止直接合并"
"创建存在"	"2"	"0"	"2"	"2"	"1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=存在;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：存在"	"世界树类.h:139: 存在节点类* 创建存在(基础信息节点类* 父节点, 存在节点主信息类* 主信息) || 存在类.h:27: 存在节点类* 创建存在(基础信息节点类* 父节点, 存在节点主信息类* 主信息)"	"同名不同功能或约束，禁止直接合并"
"创建抽象特征"	"2"	"0"	"2"	"2"	"1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：特征"	"世界树类.h:111: 抽象特征节点类* 创建抽象特征(基础信息节点类* 父抽象特征, 抽象特征主信息类* 主信息) || 特征类.h:266: 抽象特征节点类* 创建抽象特征(基础信息节点类* 父抽象特征, 抽象特征主信息类* 主信息)"	"同名不同功能或约束，禁止直接合并"
"创建特征"	"2"	"0"	"2"	"2"	"1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=特征;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 专用类/对应头文件：特征"	"世界树类.h:136: 特征节点类* 创建特征(基础信息节点类* 宿主, 特征节点主信息类* 主信息) || 特征类.h:294: 特征节点类* 创建特征(基础信息节点类* 宿主, 特征节点主信息类* 主信息)"	"同名不同功能或约束，禁止直接合并"
"创建状态"	"2"	"0"	"2"	"2"	"1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=世界;约束=无显式约束 || 1x 类别=构造;输入=有自定义类型;输出=指针/引用/句柄;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"1x 专用类/对应头文件：世界 || 1x 原地保留/待复核"	"世界树类.h:177: 状态节点类* 创建状态(场景节点类* 场景, 状态节点主信息类* 主信息) || 状态类.h:71: 状态节点类* 创建状态(场景节点类* 场景, 状态节点主信息类* 主信息)"	"同名不同功能或约束，禁止直接合并"
"初始化全链自环"	"2"	"1"	"1"	"2"	"1x 类别=构造;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束 || 1x 类别=构造;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"2x 全局共享函数类.ixx候选"	"双向链表模板核心.h:74: void 初始化全链自环() || 双向链表模板核心.h:87: 初始化全链自环()"	"同名不同功能或约束，禁止直接合并"
"初始化同层自环"	"2"	"1"	"1"	"2"	"1x 类别=构造;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束 || 1x 类别=构造;输入=无自定义类型;输出=其他;副作用=无明显副作用;领域=全局通用候选;约束=无显式约束"	"2x 全局共享函数类.ixx候选"	"双向链表模板核心.h:66: void 初始化同层自环() || 双向链表模板核心.h:86: 初始化同层自环()"	"同名不同功能或约束，禁止直接合并"
"初始化度量模板注册表"	"2"	"1"	"1"	"1"	"2x 类别=构造;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=全局通用候选;约束=noexcept"	"2x 全局共享函数类.ixx候选"	"度量模板注册表桥接.cpp:6: void 初始化度量模板注册表() noexcept || 度量模板注册表桥接.h:14: void 初始化度量模板注册表() noexcept"	"功能签名一致，按专用归属复核"
"初始化项目日志"	"2"	"1"	"1"	"1"	"2x 类别=构造;输入=无自定义类型;输出=void;副作用=无明显副作用;领域=日志;约束=noexcept"	"2x 专用类/对应头文件：日志"	"日志接入.h:8: void 初始化项目日志() noexcept || 日志模块.ixx:544: void 初始化项目日志() noexcept"	"功能签名一致，按专用归属复核"
